year,event,value
1972,Diving,22.23880597
1992,Figure Skating,23.29850746
1964,Luge,24.47058824
1980,Luge,24.61764706
1998,Luge,24.67647059
1896,Athletics,22.43478261
1906,Gymnastics,24.67142857
1932,Boxing,21.51428571
1932,Speed Skating,23.5
1964,Modern Pentathlon,26.7
1998,Snowboarding,23.38571429
1912,Diving,24.61971831
1964,Judo,25.52777778
2002,Figure Skating,24.55555556
1896,Gymnastics,24.28767123
1924,Water Polo,26.24657534
1994,Luge,24.09589041
1998,Figure Skating,24.30136986
2010,Figure Skating,24.09589041
1988,Luge,24.43243243
1992,Luge,23.60810811
2006,Figure Skating,25.39189189
1988,Nordic Combined,22.78666667
1908,Rowing,24.32894737
1932,Wrestling,27.02631579
1996,Diving,22.51315789
1928,Bobsleigh,29.83116883
1908,Wrestling,23.85897436
1924,Ice Hockey,27.47435897
1928,Cross Country Skiing,26.38461538
1992,Nordic Combined,22.56410256
2006,Luge,25.61538462
2010,Luge,26.97435897
1920,Tennis,28.64556962
1928,Hockey,24.73417722
1980,Modern Pentathlon,25.2278481
1936,Weightlifting,26.7
1968,Luge,25.1125
1920,Boxing,21.70731707
1928,Water Polo,24.31764706
1948,Weightlifting,27.82352941
1972,Luge,24.45882353
2010,Freestyle Skiing,26.87356322
2002,Luge,25.55681818
2012,Badminton,26.96590909
1956,Weightlifting,27.08988764
1976,Modern Pentathlon,26.03370787
1994,Nordic Combined,22.48314607
2008,Badminton,26.68539326
2016,Badminton,28.01123596
2016,Diving,23.8988764
1948,Bobsleigh,32.06593407
1956,Water Polo,24.98901099
1976,Luge,24.87912088
2008,Diving,23.06593407
1998,Nordic Combined,22.88043478
1920,Sailing,33.27956989
1968,Modern Pentathlon,26.56989247
2012,Diving,23.04301075
1998,Short Track Speed Skating,21.88297872
1994,Short Track Speed Skating,23.09473684
1932,Swimming,21.20833333
1952,Bobsleigh,33.52083333
1980,Hockey,24.98958333
1952,Modern Pentathlon,27.18556701
2004,Diving,23.69072165
1900,Rowing,23.96938776
1904,Golf,28.86734694
1912,Sailing,31.34693878
1980,Ski Jumping,22.25510204
1984,Modern Pentathlon,24.94949495
2004,Badminton,26.07070707
2008,Archery,27.6
2012,Archery,26.2
2016,Archery,24.68
1932,Cycling,22.85148515
1928,Speed Skating,25.09708738
2004,Archery,25.52427184
1920,Rowing,26.45192308
1924,Speed Skating,26.03846154
2010,Snowboarding,25.49038462
1928,Sailing,32.35238095
1936,Handball,23.38095238
1964,Ski Jumping,24.39047619
1980,Volleyball,25.25714286
1928,Ice Hockey,26.1509434
1972,Biathlon,27.73584906
2000,Archery,26.79245283
2000,Badminton,26.20754717
1980,Equestrianism,32.24299065
1928,Boxing,21.5
1972,Ski Jumping,23.58333333
1980,Bobsleigh,28.90740741
1976,Ski Jumping,23.23853211
1996,Archery,25.6146789
1920,Wrestling,27.6
2014,Figure Skating,24.81818182
1948,Water Polo,27.97297297
1960,Modern Pentathlon,27.28828829
1964,Volleyball,25.8018018
1984,Ski Jumping,21.8018018
2006,Snowboarding,25.43243243
1936,Bobsleigh,30.25892857
1976,Biathlon,26.50892857
1956,Basketball,24.56637168
1956,Football,25.52212389
2014,Luge,26.01769912
1920,Equestrianism,31.54385965
1972,Bobsleigh,28.45614035
1968,Biathlon,26.95689655
1968,Ski Jumping,23.65517241
1972,Modern Pentathlon,25.88793103
1992,Badminton,25.04310345
2006,Short Track Speed Skating,23.57758621
1948,Canoeing,27.82051282
1964,Bobsleigh,30.15384615
1992,Modern Pentathlon,26.29059829
2012,Table Tennis,28.53846154
1984,Volleyball,24.40677966
2016,Table Tennis,27.72033898
1912,Equestrianism,32.68907563
1968,Volleyball,25.02521008
1988,Modern Pentathlon,26.05882353
1920,Swimming,23.25833333
1928,Wrestling,25.99166667
1968,Bobsleigh,28.375
1976,Volleyball,24.61666667
1906,Fencing,29.43801653
2000,Tennis,25.09016393
1992,Table Tennis,25.17886179
2000,Diving,22.69105691
1992,Tennis,23.82258065
2004,Tennis,25.63709677
2002,Nordic Combined,23.4
2008,Table Tennis,28.544
1988,Table Tennis,25.33333333
1988,Tennis,23.76984127
1996,Table Tennis,26.26984127
1996,Tennis,24.1984127
2004,Table Tennis,28.28125
2008,Tennis,26.6015625
2014,Nordic Combined,26.4921875
1908,Swimming,21.82945736
1972,Speed Skating,24.6744186
1996,Badminton,25.86923077
1956,Sailing,36.08396947
1976,Water Polo,24.55725191
2002,Short Track Speed Skating,22.4351145
2010,Nordic Combined,25.46564885
1956,Canoeing,27.54545455
1980,Water Polo,24.98484848
1976,Bobsleigh,28.21804511
1900,Fencing,30.52238806
1964,Canoeing,24.76865672
1900,Sailing,36.94814815
1936,Speed Skating,24.15555556
1952,Weightlifting,27.94814815
1956,Bobsleigh,31.91851852
1992,Archery,26.13333333
2014,Short Track Speed Skating,24.02962963
2000,Table Tennis,27.90441176
1948,Hockey,28.31386861
1956,Hockey,27.45255474
1964,Water Polo,25.19708029
2010,Short Track Speed Skating,23.2919708
1928,Swimming,21.27536232
1956,Boxing,22.5942029
2006,Nordic Combined,24.5
1948,Ice Hockey,26.68345324
1932,Gymnastics,23.87142857
