year,event,value
2004,Weightlifting,147
2016,Gymnastics,147
1976,Rowing,147
1996,Gymnastics,147
1968,Weightlifting,147
1972,Weightlifting,147
1996,Gymnastics,147
2000,Baseball,147
2012,Weightlifting,147
2012,Weightlifting,147
2000,Weightlifting,147
2004,Weightlifting,147
1960,Gymnastics,147
1964,Gymnastics,147
1988,Gymnastics,147
1964,Gymnastics,147
1996,Weightlifting,147
2000,Weightlifting,147
2006,Figure Skating,147
1996,Diving,147
2000,Diving,147
2004,Diving,147
2012,Diving,147
2012,Athletics,147
2012,Weightlifting,147
1996,Gymnastics,147
1992,Gymnastics,147
1996,Gymnastics,147
2000,Gymnastics,147
1960,Gymnastics,148
1964,Gymnastics,148
1984,Gymnastics,148
2000,Athletics,148
1980,Gymnastics,148
2000,Athletics,148
2004,Athletics,148
1992,Figure Skating,148
1994,Figure Skating,148
1998,Figure Skating,148
2000,Gymnastics,148
1980,Gymnastics,148
1968,Gymnastics,148
2000,Weightlifting,148
2004,Weightlifting,148
2014,Figure Skating,148
2016,Gymnastics,148
1984,Athletics,148
1988,Athletics,148
1992,Athletics,148
1996,Athletics,148
1980,Gymnastics,148
2016,Weightlifting,148
2000,Gymnastics,148
1980,Gymnastics,148
1992,Figure Skating,148
2004,Gymnastics,148
1956,Diving,148
1960,Diving,148
1996,Gymnastics,148
2000,Judo,148
1968,Gymnastics,148
2000,Gymnastics,148
2012,Weightlifting,148
1996,Gymnastics,148
2004,Weightlifting,148
1984,Gymnastics,148
1988,Wrestling,148
2016,Gymnastics,148
1984,Gymnastics,148
1992,Gymnastics,148
1972,Cycling,148
1996,Boxing,148
1988,Athletics,148
1984,Gymnastics,148
1992,Weightlifting,148
1996,Weightlifting,148
2000,Weightlifting,148
2004,Weightlifting,148
1984,Weightlifting,148
2008,Gymnastics,148
2012,Gymnastics,148
2016,Gymnastics,148
2012,Weightlifting,148
1968,Equestrianism,148
1968,Figure Skating,148
1996,Gymnastics,148
1992,Athletics,148
1984,Figure Skating,148
2000,Gymnastics,148
1988,Gymnastics,148
1992,Gymnastics,148
1992,Figure Skating,148
1994,Figure Skating,148
1920,Athletics,148
1984,Diving,148
2016,Gymnastics,148
2016,Athletics,148
2014,Curling,148
2012,Diving,148
1968,Gymnastics,148
1976,Rowing,148
1980,Rowing,148
2004,Gymnastics,148
1988,Weightlifting,148
2004,Athletics,149
2008,Weightlifting,149
2004,Weightlifting,149
2008,Weightlifting,149
2016,Weightlifting,149
1968,Gymnastics,149
2000,Diving,149
2004,Diving,149
2004,Table Tennis,149
2016,Table Tennis,149
2000,Weightlifting,149
1984,Rowing,149
2008,Weightlifting,149
2012,Weightlifting,149
2016,Weightlifting,149
1996,Gymnastics,149
2004,Gymnastics,149
2000,Weightlifting,149
1998,Figure Skating,149
1984,Athletics,149
1988,Athletics,149
1996,Gymnastics,149
2004,Diving,149
1980,Gymnastics,149
2016,Diving,149
2012,Diving,149
2002,Figure Skating,149
2010,Figure Skating,149
1964,Gymnastics,149
1992,Gymnastics,149
2004,Gymnastics,149
2000,Gymnastics,149
2016,Athletics,149
2000,Gymnastics,149
2014,Figure Skating,149
1964,Weightlifting,149
2012,Weightlifting,149
2008,Gymnastics,149
2000,Weightlifting,149
2004,Wrestling,149
2004,Gymnastics,149
2008,Gymnastics,149
2012,Shooting,149
2016,Shooting,149
1996,Gymnastics,149
1992,Gymnastics,149
1980,Wrestling,149
1968,Gymnastics,149
1972,Gymnastics,149
1992,Gymnastics,149
2000,Weightlifting,149
2004,Weightlifting,149
2008,Weightlifting,149
2004,Gymnastics,149
1996,Gymnastics,149
2004,Cycling,149
1998,Freestyle Skiing,149
1996,Gymnastics,149
1988,Athletics,149
1992,Athletics,149
2016,Athletics,149
1968,Speed Skating,149
2012,Gymnastics,149
2000,Athletics,149
2008,Gymnastics,149
2012,Gymnastics,149
1988,Gymnastics,149
2004,Weightlifting,149
1980,Athletics,150
1998,Figure Skating,150
2008,Athletics,150
2008,Gymnastics,150
2016,Weightlifting,150
1968,Hockey,150
1972,Hockey,150
2000,Athletics,150
1972,Cross Country Skiing,150
1988,Shooting,150
2004,Boxing,150
1988,Weightlifting,150
2004,Boxing,150
2000,Judo,150
2004,Gymnastics,150
2016,Athletics,150
1988,Weightlifting,150
1976,Cycling,150
1988,Athletics,150
2012,Wrestling,150
1976,Boxing,150
1968,Swimming,150
1972,Swimming,150
1976,Swimming,150
2004,Wrestling,150
